,round_epochs,val_loss,val_accuracy,loss,accuracy,activation_1,activation_2,activation_3,activation_4,activation_5,batch_size,dropout,emb_output_dims,epochs,kernel_initializer,last_activation,loss,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,optimizer,weight_regulizer
1221,6,1.9979906378979664,0.05622490122914314,1.9412752625618923,0.20040079951286316,tanh,tanh,relu,elu,elu,256,0.25,,20,normal,softmax,categorical_crossentropy,5.000050000000001,32,64,64,<class 'keras.optimizers.RMSprop'>,
67,5,1.9969645130586433,0.05622490122914314,1.9423919377043475,0.20774883031845093,tanh,relu,tanh,elu,relu,256,0.1,,10,uniform,softmax,categorical_crossentropy,5.000050000000001,64,128,64,<class 'keras.optimizers.RMSprop'>,
1605,3,2.264650465494179,0.05622490122914314,2.2938974443561806,0.15965263545513153,relu,tanh,elu,elu,tanh,256,0.1,,10,uniform,softmax,categorical_crossentropy,6.00004,128,32,32,<class 'keras.optimizers.RMSprop'>,
1419,10,2.001555859324444,0.05622490122914314,2.2938354673111685,0.15430861711502075,relu,tanh,elu,elu,tanh,256,0.35000000000000003,,20,normal,softmax,categorical_crossentropy,8.000020000000001,32,64,256,<class 'keras.optimizers.Adam'>,
1783,3,2.5883165210126395,0.05622490122914314,2.7582552714911635,0.12491650134325027,elu,elu,elu,tanh,tanh,256,0.30000000000000004,,10,uniform,softmax,categorical_crossentropy,5.000050000000001,64,128,256,<class 'keras.optimizers.Adam'>,
1296,5,1.9533164501190186,0.05622490122914314,1.9490409117980885,0.15564462542533875,elu,relu,elu,relu,relu,512,0.0,,10,normal,softmax,categorical_crossentropy,5.000050000000001,32,32,128,<class 'keras.optimizers.Adam'>,
813,3,2.0943924432777496,0.05622490122914314,2.652845347970824,0.15030060708522797,relu,relu,relu,tanh,tanh,256,0.45,,10,uniform,softmax,categorical_crossentropy,4.00006,128,128,256,<class 'keras.optimizers.RMSprop'>,
605,6,3.466482400894165,0.05622490122914314,9.938246021767656,0.17167668044567108,elu,tanh,tanh,elu,relu,512,0.30000000000000004,,30,uniform,softmax,categorical_crossentropy,2.0000800000000005,64,256,64,<class 'keras.optimizers.Nadam'>,
893,10,1.9496991634368896,0.05622490122914314,1.9440338107531439,0.1429525762796402,relu,elu,tanh,relu,tanh,512,0.2,,10,uniform,softmax,categorical_crossentropy,0.0001,32,256,128,<class 'keras.optimizers.Nadam'>,
1865,10,2.5013561248779297,0.05622490122914314,2.459801178418085,0.13627254962921143,tanh,tanh,relu,tanh,elu,512,0.0,,20,normal,softmax,categorical_crossentropy,7.000030000000001,32,64,64,<class 'keras.optimizers.Nadam'>,
1354,11,2.1042202476516785,0.05622490122914314,2.215456009229661,0.17969271540641785,elu,tanh,tanh,elu,tanh,256,0.25,,30,uniform,softmax,categorical_crossentropy,2.0000800000000005,64,128,256,<class 'keras.optimizers.RMSprop'>,
912,5,3.86462612898953,0.05622490122914314,3.0089380806417725,0.1656646579504013,tanh,elu,elu,elu,tanh,256,0.05,,20,uniform,softmax,categorical_crossentropy,6.00004,64,256,64,<class 'keras.optimizers.RMSprop'>,
178,10,1.9628878831863403,0.05622490122914314,1.9525827304792946,0.12692050635814667,tanh,tanh,relu,relu,tanh,512,0.2,,10,normal,softmax,categorical_crossentropy,0.0001,128,64,256,<class 'keras.optimizers.Adam'>,
887,6,3.5942089557647705,0.05622490122914314,3.870566478313887,0.15364061295986176,tanh,relu,elu,elu,tanh,512,0.35000000000000003,,20,uniform,softmax,categorical_crossentropy,8.000020000000001,64,32,128,<class 'keras.optimizers.Nadam'>,
886,4,2.9188771841516457,0.05622490122914314,2.817778001567405,0.13961255550384521,tanh,relu,elu,elu,tanh,256,0.45,,20,normal,softmax,categorical_crossentropy,4.00006,128,128,32,<class 'keras.optimizers.RMSprop'>,
1557,4,10.368579067858347,0.05622490122914314,11.448362609109006,0.1436205804347992,elu,tanh,tanh,elu,elu,256,0.1,,10,normal,softmax,categorical_crossentropy,6.00004,128,32,32,<class 'keras.optimizers.Nadam'>,
1371,6,4.100980503970839,0.05622490122914314,3.560220245687501,0.14829659461975098,tanh,tanh,tanh,relu,tanh,256,0.30000000000000004,,30,uniform,softmax,categorical_crossentropy,7.000030000000001,128,256,128,<class 'keras.optimizers.Nadam'>,
1564,9,3.401721954345703,0.05622490122914314,3.0466272843704276,0.1636606603860855,relu,tanh,tanh,relu,tanh,512,0.30000000000000004,,30,normal,softmax,categorical_crossentropy,7.000030000000001,64,128,128,<class 'keras.optimizers.RMSprop'>,
1565,6,1.951692516066463,0.05622490122914314,1.9488197626395471,0.1436205804347992,tanh,tanh,tanh,tanh,relu,256,0.2,,10,uniform,softmax,categorical_crossentropy,9.000010000000001,128,256,256,<class 'keras.optimizers.Adam'>,
934,5,3.5454461574554443,0.05622490122914314,2.833867571556178,0.1202404797077179,tanh,tanh,tanh,elu,tanh,512,0.0,,20,uniform,softmax,categorical_crossentropy,5.000050000000001,64,64,256,<class 'keras.optimizers.Nadam'>,
573,4,2.7225246678394486,0.05622490122914314,3.414226467958194,0.13694055378437042,elu,elu,relu,tanh,tanh,256,0.4,,10,normal,softmax,categorical_crossentropy,7.000030000000001,128,32,128,<class 'keras.optimizers.RMSprop'>,
1332,2,161.25192260742188,0.05622490122914314,85.83415932868749,0.15965263545513153,elu,elu,elu,elu,relu,512,0.35000000000000003,,10,normal,softmax,categorical_crossentropy,2.0000800000000005,128,128,128,<class 'keras.optimizers.RMSprop'>,
864,12,2.7813475131988525,0.05622490122914314,1.9232219894010383,0.23446893692016602,tanh,elu,relu,relu,relu,512,0.30000000000000004,,30,uniform,softmax,categorical_crossentropy,4.00006,128,64,32,<class 'keras.optimizers.RMSprop'>,
1386,9,5.683097073352002,0.05622490122914314,4.669621560600652,0.13293252885341644,elu,elu,tanh,relu,tanh,256,0.2,,30,normal,softmax,categorical_crossentropy,8.000020000000001,32,128,32,<class 'keras.optimizers.Nadam'>,
207,2,182.95705606851234,0.05622490122914314,181.69329214255333,0.14696058630943298,elu,tanh,tanh,elu,elu,256,0.1,,10,uniform,softmax,categorical_crossentropy,6.00004,64,256,128,<class 'keras.optimizers.Nadam'>,
859,30,1.9657256603240967,0.05622490122914314,1.9649507444384262,0.1402805596590042,elu,relu,tanh,relu,tanh,512,0.4,,30,uniform,softmax,categorical_crossentropy,0.0001,32,32,32,<class 'keras.optimizers.Nadam'>,
421,12,9.942943289576764,0.05622490122914314,1.9760740395777212,0.18637274205684662,relu,relu,tanh,elu,relu,256,0.1,,20,normal,softmax,categorical_crossentropy,5.000050000000001,64,256,256,<class 'keras.optimizers.RMSprop'>,
847,3,2.802740170773732,0.05622490122914314,3.6689125588518343,0.15631262958049774,elu,elu,relu,relu,tanh,256,0.4,,20,normal,softmax,categorical_crossentropy,4.00006,32,128,128,<class 'keras.optimizers.Nadam'>,
582,4,3.859624629039841,0.05622490122914314,3.36949220449031,0.15297260880470276,relu,tanh,tanh,elu,tanh,256,0.30000000000000004,,20,uniform,softmax,categorical_crossentropy,7.000030000000001,32,128,128,<class 'keras.optimizers.RMSprop'>,
1316,12,2.907794952392578,0.05622490122914314,2.629880940348766,0.18169672787189484,elu,tanh,relu,elu,tanh,512,0.0,,30,uniform,softmax,categorical_crossentropy,5.000050000000001,128,64,256,<class 'keras.optimizers.RMSprop'>,
401,6,3.283080649663167,0.05622490122914314,4.147196810963796,0.15230460464954376,tanh,elu,relu,relu,tanh,256,0.45,,20,uniform,softmax,categorical_crossentropy,8.000020000000001,64,128,256,<class 'keras.optimizers.RMSprop'>,
143,30,1.9539748430252075,0.05622490122914314,1.9442241065248937,0.13092851638793945,tanh,tanh,relu,relu,elu,512,0.05,,30,uniform,softmax,categorical_crossentropy,0.0001,32,256,32,<class 'keras.optimizers.Adam'>,
830,3,1.982879919699397,0.05622490122914314,1.9339643923059335,0.13627254962921143,tanh,elu,relu,elu,elu,256,0.1,,10,normal,softmax,categorical_crossentropy,5.000050000000001,32,128,128,<class 'keras.optimizers.Adam'>,
428,12,2.397627115249634,0.05622490122914314,2.2033683294921853,0.1416165679693222,elu,tanh,tanh,elu,relu,512,0.05,,30,normal,softmax,categorical_crossentropy,6.00004,128,128,32,<class 'keras.optimizers.RMSprop'>,
816,7,2.6562612056732178,0.05622490122914314,3.1897092313072086,0.1442885845899582,tanh,elu,relu,elu,tanh,512,0.30000000000000004,,20,uniform,softmax,categorical_crossentropy,8.000020000000001,32,256,64,<class 'keras.optimizers.Adam'>,
1879,13,3.0163986682891846,0.05622490122914314,2.889871366516144,0.15430861711502075,relu,elu,tanh,tanh,elu,512,0.0,,30,normal,softmax,categorical_crossentropy,9.000010000000001,128,256,256,<class 'keras.optimizers.Nadam'>,
1957,3,28.926231384277344,0.05622490122914314,33.387805457105614,0.12090848386287689,tanh,tanh,relu,tanh,relu,512,0.05,,20,normal,softmax,categorical_crossentropy,3.0000700000000005,64,256,32,<class 'keras.optimizers.Nadam'>,
190,7,2.501250982284546,0.05622490122914314,2.5540511854983365,0.1670006662607193,tanh,elu,tanh,relu,tanh,512,0.1,,20,uniform,softmax,categorical_crossentropy,6.00004,64,256,128,<class 'keras.optimizers.Adam'>,
1071,11,2.0070321320529922,0.05622490122914314,2.3595048986280767,0.1402805596590042,elu,relu,relu,elu,elu,256,0.05,,30,uniform,softmax,categorical_crossentropy,9.000010000000001,32,64,256,<class 'keras.optimizers.RMSprop'>,
1776,7,2.622074842453003,0.05622490122914314,2.786179136576936,0.17501670122146606,elu,elu,relu,relu,tanh,512,0.4,,30,normal,softmax,categorical_crossentropy,5.000050000000001,128,32,256,<class 'keras.optimizers.Nadam'>,
1654,10,1.959862791390783,0.05622490122914314,1.954578796624341,0.13092851638793945,tanh,elu,elu,elu,relu,256,0.05,,10,normal,softmax,categorical_crossentropy,0.0001,64,128,256,<class 'keras.optimizers.SGD'>,
478,20,1.9615077177683513,0.05622490122914314,1.9626772892658282,0.13627254962921143,elu,elu,elu,tanh,relu,256,0.35000000000000003,,20,normal,softmax,categorical_crossentropy,0.0001,64,64,128,<class 'keras.optimizers.Adam'>,
1626,3,4.495328426361084,0.05622490122914314,2.12259587814749,0.17702071368694305,elu,relu,relu,tanh,elu,512,0.15000000000000002,,10,uniform,softmax,categorical_crossentropy,3.0000700000000005,32,64,128,<class 'keras.optimizers.Nadam'>,
49,2,1.9697972684500207,0.05622490122914314,1.9290918808582231,0.17368069291114807,relu,elu,relu,relu,relu,256,0.0,,10,normal,softmax,categorical_crossentropy,7.000030000000001,32,32,64,<class 'keras.optimizers.Adam'>,
1655,10,2.2416069507598877,0.05622490122914314,2.6092930429365606,0.16967268288135529,elu,relu,tanh,tanh,tanh,512,0.4,,20,uniform,softmax,categorical_crossentropy,9.000010000000001,64,256,64,<class 'keras.optimizers.Adam'>,
47,5,4.6823246546059725,0.05622490122914314,3.2381187741885444,0.16032063961029053,elu,relu,elu,tanh,tanh,256,0.0,,30,uniform,softmax,categorical_crossentropy,8.000020000000001,32,256,256,<class 'keras.optimizers.Nadam'>,
