,round_epochs,val_loss,val_accuracy,loss,accuracy,activation_1,activation_2,activation_3,activation_4,activation_5,batch_size,dropout,emb_output_dims,epochs,kernel_initializer,last_activation,loss,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,optimizer,weight_regulizer
1044,7,2.0457105627021637,0.05622490122914314,2.021252556172067,0.15030060708522797,relu,elu,tanh,elu,tanh,256,0.30000000000000004,,20,normal,softmax,categorical_crossentropy,4.00006,128,32,256,<class 'keras.optimizers.Adam'>,
1049,6,2.368955135345459,0.05622490122914314,2.654439241948252,0.15764863789081573,tanh,relu,elu,relu,tanh,512,0.1,,30,uniform,softmax,categorical_crossentropy,5.000050000000001,64,32,128,<class 'keras.optimizers.Nadam'>,
52,5,2.528170585632324,0.05622490122914314,2.150454243581615,0.13694055378437042,relu,elu,relu,tanh,elu,512,0.35000000000000003,,20,uniform,softmax,categorical_crossentropy,9.000010000000001,32,256,256,<class 'keras.optimizers.Adam'>,
1114,7,4.135198154602664,0.05622490122914314,4.350833038210311,0.1422845721244812,relu,relu,tanh,elu,elu,256,0.05,,30,normal,softmax,categorical_crossentropy,8.000020000000001,64,64,128,<class 'keras.optimizers.RMSprop'>,
1124,5,4.48681116104126,0.05622490122914314,3.5623644137271024,0.15631262958049774,elu,tanh,relu,tanh,tanh,512,0.0,,30,normal,softmax,categorical_crossentropy,9.000010000000001,128,128,128,<class 'keras.optimizers.RMSprop'>,
49,4,2.586196160220717,0.05622490122914314,2.769263445415255,0.1636606603860855,relu,relu,tanh,relu,tanh,256,0.0,,20,normal,softmax,categorical_crossentropy,6.00004,128,64,64,<class 'keras.optimizers.RMSprop'>,
1153,8,2.812802314758301,0.05622490122914314,2.8816573737698072,0.15564462542533875,relu,elu,tanh,relu,tanh,512,0.1,,30,normal,softmax,categorical_crossentropy,7.000030000000001,32,64,128,<class 'keras.optimizers.RMSprop'>,
1156,5,2.3247427940368652,0.05622490122914314,2.282159775913598,0.1656646579504013,elu,relu,elu,tanh,relu,512,0.25,,30,normal,softmax,categorical_crossentropy,7.000030000000001,32,256,32,<class 'keras.optimizers.Adam'>,
1041,4,18.609100341796875,0.05622490122914314,31.686323536660723,0.1683366745710373,tanh,elu,tanh,elu,relu,512,0.0,,20,normal,softmax,categorical_crossentropy,8.000020000000001,32,32,64,<class 'keras.optimizers.Adam'>,
522,10,2.2859538606850496,0.05622490122914314,2.1457668688588725,0.17835670709609985,tanh,relu,elu,tanh,elu,256,0.05,,30,uniform,softmax,categorical_crossentropy,6.00004,32,256,128,<class 'keras.optimizers.RMSprop'>,
824,5,4.317161406857901,0.05622490122914314,3.2832841900243865,0.15430861711502075,elu,tanh,relu,elu,tanh,256,0.25,,20,normal,softmax,categorical_crossentropy,7.000030000000001,128,256,256,<class 'keras.optimizers.RMSprop'>,
799,13,1.9711572013226857,0.05622490122914314,2.1387282341579317,0.1636606603860855,tanh,elu,relu,relu,tanh,256,0.25,,20,uniform,softmax,categorical_crossentropy,7.000030000000001,128,64,256,<class 'keras.optimizers.Adam'>,
95,5,3.443905541216992,0.05622490122914314,2.8649707603390886,0.1663326621055603,elu,tanh,tanh,elu,tanh,256,0.15000000000000002,,20,uniform,softmax,categorical_crossentropy,6.00004,128,256,32,<class 'keras.optimizers.RMSprop'>,
540,12,2.4756202697753906,0.05622490122914314,3.8274249621208463,0.15564462542533875,tanh,tanh,tanh,elu,elu,512,0.1,,20,uniform,softmax,categorical_crossentropy,7.000030000000001,32,32,256,<class 'keras.optimizers.RMSprop'>,
566,4,5.482617765066614,0.05622490122914314,3.5580350083355596,0.15096861124038696,elu,tanh,relu,tanh,tanh,256,0.0,,20,normal,softmax,categorical_crossentropy,8.000020000000001,32,32,128,<class 'keras.optimizers.Nadam'>,
570,16,5.762385119396042,0.05622490122914314,377.76807818033734,0.12558449804782867,elu,tanh,elu,elu,relu,256,0.45,,20,uniform,softmax,categorical_crossentropy,4.00006,128,256,256,<class 'keras.optimizers.RMSprop'>,
84,6,2.317740883693159,0.05622490122914314,2.2917253004365867,0.16098864376544952,tanh,tanh,relu,relu,tanh,256,0.1,,20,normal,softmax,categorical_crossentropy,3.0000700000000005,128,256,128,<class 'keras.optimizers.RMSprop'>,
83,6,4.194870471954346,0.05622490122914314,3.8251878140206803,0.15831662714481354,elu,relu,elu,relu,tanh,512,0.35000000000000003,,30,normal,softmax,categorical_crossentropy,8.000020000000001,64,32,64,<class 'keras.optimizers.Nadam'>,
572,5,2046.316650390625,0.05622490122914314,266.25943794326935,0.1422845721244812,elu,elu,elu,elu,elu,512,0.05,,20,normal,softmax,categorical_crossentropy,7.000030000000001,128,32,256,<class 'keras.optimizers.Nadam'>,
504,6,3.07792592048645,0.05622490122914314,3.0519195743298324,0.16232465207576752,elu,elu,elu,relu,tanh,512,0.45,,20,normal,softmax,categorical_crossentropy,8.000020000000001,128,64,32,<class 'keras.optimizers.RMSprop'>,
471,6,2.795137643814087,0.05622490122914314,3.187142617716818,0.15430861711502075,tanh,elu,tanh,tanh,tanh,512,0.45,,30,normal,softmax,categorical_crossentropy,7.000030000000001,64,32,32,<class 'keras.optimizers.RMSprop'>,
609,6,2.543550729751587,0.05622490122914314,2.3163541357120674,0.12625250220298767,relu,elu,elu,tanh,tanh,512,0.0,,20,normal,softmax,categorical_crossentropy,7.000030000000001,32,64,32,<class 'keras.optimizers.Adam'>,
662,20,1.9531024967331485,0.05622490122914314,1.9506917824805698,0.1436205804347992,elu,relu,tanh,tanh,relu,256,0.45,,20,uniform,softmax,categorical_crossentropy,0.0001,32,32,128,<class 'keras.optimizers.RMSprop'>,
666,6,3.825023889541626,0.05622490122914314,3.9203339804787594,0.1670006662607193,elu,relu,tanh,elu,tanh,512,0.45,,30,normal,softmax,categorical_crossentropy,9.000010000000001,32,256,128,<class 'keras.optimizers.RMSprop'>,
703,10,1.9898583889007568,0.05622490122914314,1.9943366531698243,0.13694055378437042,relu,elu,elu,tanh,elu,512,0.4,,20,normal,softmax,categorical_crossentropy,6.00004,64,64,32,<class 'keras.optimizers.Adam'>,
713,9,3.921224355697632,0.05622490122914314,3.551982911172993,0.17702071368694305,elu,elu,elu,relu,tanh,512,0.30000000000000004,,30,normal,softmax,categorical_crossentropy,8.000020000000001,128,64,32,<class 'keras.optimizers.Nadam'>,
736,9,2.0467958172641127,0.05622490122914314,2.2719093789716682,0.17167668044567108,relu,relu,tanh,elu,tanh,256,0.4,,20,normal,softmax,categorical_crossentropy,7.000030000000001,128,32,256,<class 'keras.optimizers.Adam'>,
751,5,2.036044944242301,0.05622490122914314,2.5215970708596047,0.15497662127017975,elu,elu,tanh,tanh,elu,256,0.4,,20,normal,softmax,categorical_crossentropy,8.000020000000001,32,64,128,<class 'keras.optimizers.Nadam'>,
772,4,483.7095947265625,0.05622490122914314,253.30260635202697,0.12358049303293228,elu,elu,elu,tanh,relu,512,0.0,,20,normal,softmax,categorical_crossentropy,7.000030000000001,32,128,256,<class 'keras.optimizers.Adam'>,
781,5,2.9825325050507203,0.05622490122914314,2.8558673896866,0.15831662714481354,elu,relu,elu,tanh,tanh,256,0.2,,20,normal,softmax,categorical_crossentropy,6.00004,64,256,32,<class 'keras.optimizers.RMSprop'>,
500,3,41.80975108931821,0.05622490122914314,34.1049989383063,0.16098864376544952,elu,elu,elu,elu,elu,256,0.15000000000000002,,20,uniform,softmax,categorical_crossentropy,7.000030000000001,64,32,32,<class 'keras.optimizers.Nadam'>,
1161,5,9.378725051879883,0.05622490122914314,7.171587054380673,0.15430861711502075,relu,relu,elu,elu,elu,512,0.1,,20,uniform,softmax,categorical_crossentropy,7.000030000000001,128,256,64,<class 'keras.optimizers.Adam'>,
1160,5,4.1569757863699675,0.05622490122914314,3.3261453904704243,0.16098864376544952,tanh,elu,elu,relu,tanh,256,0.1,,20,normal,softmax,categorical_crossentropy,7.000030000000001,64,64,128,<class 'keras.optimizers.Nadam'>,
1594,6,2.0454207491204444,0.05622490122914314,2.0061537075934606,0.1903807669878006,relu,tanh,tanh,elu,elu,256,0.45,,30,normal,softmax,categorical_crossentropy,8.000020000000001,32,64,32,<class 'keras.optimizers.Adam'>,
355,7,19.45274543762207,0.05622490122914314,2.1930059193768496,0.20374082028865814,elu,relu,elu,relu,elu,512,0.25,,30,uniform,softmax,categorical_crossentropy,7.000030000000001,32,32,256,<class 'keras.optimizers.Nadam'>,
1602,6,2.825961295859402,0.05622490122914314,2.754406542800312,0.15564462542533875,elu,elu,tanh,relu,tanh,256,0.2,,20,uniform,softmax,categorical_crossentropy,5.000050000000001,64,256,64,<class 'keras.optimizers.Nadam'>,
159,6,20.550018310546875,0.05622490122914314,23.966686213104104,0.15831662714481354,tanh,relu,tanh,elu,elu,512,0.35000000000000003,,20,normal,softmax,categorical_crossentropy,7.000030000000001,64,64,32,<class 'keras.optimizers.RMSprop'>,
1637,10,2.0636039795167,0.05622490122914314,2.032159240069036,0.1636606603860855,tanh,relu,tanh,tanh,tanh,256,0.1,,30,uniform,softmax,categorical_crossentropy,8.000020000000001,32,64,64,<class 'keras.optimizers.Adam'>,
1656,7,2.106682538986206,0.05622490122914314,2.8333684864566577,0.145624577999115,elu,elu,elu,relu,tanh,512,0.45,,20,uniform,softmax,categorical_crossentropy,4.00006,32,32,128,<class 'keras.optimizers.RMSprop'>,
1682,5,2.329563826442244,0.05622490122914314,2.562539055415926,0.15430861711502075,elu,tanh,tanh,tanh,elu,256,0.30000000000000004,,20,normal,softmax,categorical_crossentropy,8.000020000000001,32,256,128,<class 'keras.optimizers.RMSprop'>,
1685,6,109.64227294921875,0.05622490122914314,99.58606294416633,0.1409485638141632,elu,elu,elu,elu,elu,512,0.25,,20,uniform,softmax,categorical_crossentropy,9.000010000000001,32,64,128,<class 'keras.optimizers.Nadam'>,
1727,6,2.68402026264543,0.05622490122914314,2.5067266003641193,0.1636606603860855,tanh,tanh,tanh,tanh,tanh,256,0.05,,20,uniform,softmax,categorical_crossentropy,4.00006,64,128,64,<class 'keras.optimizers.Nadam'>,
134,4,6.3390421867370605,0.05622490122914314,6.042141598705936,0.1402805596590042,relu,tanh,elu,tanh,elu,512,0.05,,30,uniform,softmax,categorical_crossentropy,5.000050000000001,64,64,256,<class 'keras.optimizers.Adam'>,
1737,4,36.783443450927734,0.05622490122914314,37.331649117734166,0.15831662714481354,tanh,tanh,elu,elu,elu,512,0.15000000000000002,,30,uniform,softmax,categorical_crossentropy,3.0000700000000005,128,256,64,<class 'keras.optimizers.RMSprop'>,
1761,4,2.0749001502990723,0.05622490122914314,2.007698856836649,0.12358049303293228,elu,tanh,relu,elu,tanh,512,0.45,,20,normal,softmax,categorical_crossentropy,8.000020000000001,32,64,64,<class 'keras.optimizers.Adam'>,
1820,5,2.5868161787469703,0.05622490122914314,2.06839991826253,0.17034068703651428,tanh,elu,relu,tanh,elu,256,0.4,,30,uniform,softmax,categorical_crossentropy,5.000050000000001,32,128,64,<class 'keras.optimizers.Nadam'>,
1842,3,1.9497658014297485,0.05622490122914314,1.9470010146190107,0.13159652054309845,tanh,relu,elu,relu,relu,512,0.30000000000000004,,20,uniform,softmax,categorical_crossentropy,8.000020000000001,32,64,64,<class 'keras.optimizers.Adam'>,
1861,6,3.543747555299935,0.05622490122914314,3.3419489240996745,0.13961255550384521,tanh,relu,elu,elu,tanh,256,0.15000000000000002,,30,uniform,softmax,categorical_crossentropy,7.000030000000001,64,128,32,<class 'keras.optimizers.RMSprop'>,
1896,4,3.9264958699544272,0.05622490122914314,3.734203565415336,0.17635270953178406,relu,tanh,elu,relu,tanh,256,0.05,,20,normal,softmax,categorical_crossentropy,8.000020000000001,64,128,64,<class 'keras.optimizers.RMSprop'>,
1900,4,2.5340726605380874,0.05622490122914314,2.416230520249687,0.20507681369781494,elu,tanh,relu,elu,elu,256,0.15000000000000002,,20,normal,softmax,categorical_crossentropy,4.00006,32,256,256,<class 'keras.optimizers.Adam'>,
1967,4,1.9657536745071411,0.05622490122914314,1.9736835829162087,0.1436205804347992,elu,tanh,relu,elu,relu,512,0.0,,20,normal,softmax,categorical_crossentropy,3.0000700000000005,128,64,64,<class 'keras.optimizers.Adam'>,
191,5,1.988898754119873,0.05622490122914314,1.9742163768512213,0.13493654131889343,tanh,tanh,tanh,relu,elu,512,0.05,,30,normal,softmax,categorical_crossentropy,5.000050000000001,128,256,32,<class 'keras.optimizers.Adam'>,
1569,8,2.5364699363708496,0.05622490122914314,2.6492312871860357,0.17501670122146606,relu,elu,relu,relu,tanh,512,0.05,,20,normal,softmax,categorical_crossentropy,5.000050000000001,64,256,128,<class 'keras.optimizers.RMSprop'>,
514,6,1.9797692882966804,0.05622490122914314,1.9328488716700114,0.20708082616329193,relu,tanh,relu,tanh,relu,256,0.45,,20,uniform,softmax,categorical_crossentropy,5.000050000000001,32,128,256,<class 'keras.optimizers.RMSprop'>,
281,7,2.0237230900301033,0.05622490122914314,1.9644975120733001,0.19973279535770416,elu,elu,relu,tanh,tanh,256,0.0,,30,normal,softmax,categorical_crossentropy,9.000010000000001,32,32,32,<class 'keras.optimizers.Adam'>,
306,5,2.0881433448638305,0.05622490122914314,1.9460267565930456,0.1402805596590042,tanh,tanh,elu,tanh,relu,256,0.05,,30,normal,softmax,categorical_crossentropy,8.000020000000001,32,128,32,<class 'keras.optimizers.Nadam'>,
1543,3,6.4773640632629395,0.05622490122914314,7.297406023633265,0.1636606603860855,elu,elu,elu,tanh,tanh,512,0.35000000000000003,,20,normal,softmax,categorical_crossentropy,8.000020000000001,128,64,128,<class 'keras.optimizers.Nadam'>,
1258,6,1.9978522062301636,0.05622490122914314,2.1040876223870573,0.15631262958049774,elu,tanh,tanh,tanh,tanh,512,0.15000000000000002,,30,uniform,softmax,categorical_crossentropy,2.0000800000000005,128,256,32,<class 'keras.optimizers.RMSprop'>,
254,6,2.7463836669921875,0.05622490122914314,2.5727649236728767,0.15364061295986176,relu,relu,tanh,tanh,tanh,512,0.1,,30,uniform,softmax,categorical_crossentropy,6.00004,32,128,128,<class 'keras.optimizers.Nadam'>,
1251,3,294.2517395019531,0.05622490122914314,292.3885541876396,0.1663326621055603,tanh,tanh,elu,tanh,relu,512,0.25,,20,normal,softmax,categorical_crossentropy,7.000030000000001,32,64,128,<class 'keras.optimizers.RMSprop'>,
1214,6,2.150887685607236,0.05622490122914314,2.4726370336536414,0.14963260293006897,relu,elu,tanh,tanh,tanh,256,0.4,,20,uniform,softmax,categorical_crossentropy,2.0000800000000005,128,256,32,<class 'keras.optimizers.RMSprop'>,
1432,7,2.359536647796631,0.05622490122914314,2.701487603311787,0.1422845721244812,tanh,relu,relu,relu,tanh,512,0.05,,20,normal,softmax,categorical_crossentropy,8.000020000000001,128,256,128,<class 'keras.optimizers.Adam'>,
1196,6,2.1805579662323,0.05622490122914314,2.116584044101641,0.20173680782318115,relu,elu,elu,elu,tanh,512,0.0,,30,normal,softmax,categorical_crossentropy,4.00006,128,128,256,<class 'keras.optimizers.RMSprop'>,
227,5,4.453129002368115,0.05622490122914314,4.514679611246827,0.16032063961029053,tanh,tanh,tanh,relu,tanh,256,0.15000000000000002,,30,uniform,softmax,categorical_crossentropy,9.000010000000001,32,128,32,<class 'keras.optimizers.RMSprop'>,
1467,6,2.430954933166504,0.05622490122914314,2.175830756813666,0.19839678704738617,tanh,relu,elu,tanh,tanh,512,0.0,,20,uniform,softmax,categorical_crossentropy,5.000050000000001,64,64,256,<class 'keras.optimizers.RMSprop'>,
1471,6,2.118382043149098,0.05622490122914314,2.517174309066079,0.15163660049438477,elu,elu,elu,tanh,elu,256,0.45,,30,uniform,softmax,categorical_crossentropy,9.000010000000001,64,128,64,<class 'keras.optimizers.Nadam'>,
308,9,3.939761625236297,0.05622490122914314,3.7327535674822037,0.14829659461975098,tanh,tanh,tanh,tanh,tanh,256,0.30000000000000004,,20,uniform,softmax,categorical_crossentropy,7.000030000000001,64,128,128,<class 'keras.optimizers.Nadam'>,
1541,7,5.492329120635986,0.05622490122914314,8.449975918353838,0.15430861711502075,tanh,relu,tanh,elu,elu,512,0.4,,20,normal,softmax,categorical_crossentropy,8.000020000000001,32,256,32,<class 'keras.optimizers.RMSprop'>,
1342,10,2.485872745513916,0.05622490122914314,2.2002831567663628,0.1923847645521164,relu,elu,tanh,elu,elu,512,0.30000000000000004,,20,normal,softmax,categorical_crossentropy,5.000050000000001,32,128,64,<class 'keras.optimizers.RMSprop'>,
1300,12,2.82755184173584,0.05622490122914314,3.9166255927356626,0.16032063961029053,relu,tanh,tanh,elu,elu,512,0.25,,20,uniform,softmax,categorical_crossentropy,9.000010000000001,128,64,64,<class 'keras.optimizers.RMSprop'>,
543,3,1.9857906103134155,0.05823293328285217,1.9655857360912468,0.17234468460083008,elu,relu,elu,elu,tanh,512,0.35000000000000003,,20,normal,softmax,categorical_crossentropy,3.0000700000000005,64,64,32,<class 'keras.optimizers.Adam'>,
1638,6,1.964399814605713,0.0602409653365612,1.940584589500147,0.15297260880470276,relu,tanh,tanh,tanh,relu,512,0.30000000000000004,,30,normal,softmax,categorical_crossentropy,4.00006,32,64,64,<class 'keras.optimizers.Nadam'>,
381,30,1.952073872328762,0.06224899739027023,1.954571887582003,0.12424849718809128,elu,relu,tanh,relu,relu,256,0.4,,30,normal,softmax,categorical_crossentropy,0.0001,64,32,128,<class 'keras.optimizers.RMSprop'>,
1018,5,1.9496660232543945,0.06224899739027023,1.9462561927481978,0.13360053300857544,elu,elu,relu,relu,elu,512,0.0,,20,uniform,softmax,categorical_crossentropy,0.0001,64,32,256,<class 'keras.optimizers.SGD'>,
1912,30,1.9597946405410767,0.06425702571868896,1.959649919189448,0.1436205804347992,elu,tanh,tanh,tanh,elu,512,0.4,,30,normal,softmax,categorical_crossentropy,0.0001,64,32,128,<class 'keras.optimizers.RMSprop'>,
539,4,1.9619404307330948,0.06425702571868896,1.948386688748438,0.20307281613349915,tanh,tanh,tanh,relu,elu,256,0.15000000000000002,,20,uniform,softmax,categorical_crossentropy,1.0000900000000001,128,32,128,<class 'keras.optimizers.RMSprop'>,
639,20,1.9536995887756348,0.0662650614976883,1.9499315154815247,0.13360053300857544,relu,elu,elu,relu,elu,512,0.35000000000000003,,20,normal,softmax,categorical_crossentropy,0.0001,128,128,128,<class 'keras.optimizers.Adam'>,
26,3,52.06425094604492,0.06827308982610703,74.31670650515305,0.13092851638793945,elu,tanh,elu,elu,elu,512,0.15000000000000002,,20,uniform,softmax,categorical_crossentropy,6.00004,32,128,32,<class 'keras.optimizers.Nadam'>,
1447,30,1.9534255266189575,0.07028112560510635,1.9530597474468336,0.146292582154274,elu,relu,relu,relu,tanh,512,0.35000000000000003,,30,normal,softmax,categorical_crossentropy,0.0001,128,32,64,<class 'keras.optimizers.Nadam'>,
1709,12,2.0649757385253906,0.07228915393352509,2.011025441274216,0.1910487711429596,elu,tanh,elu,tanh,elu,512,0.25,,30,normal,softmax,categorical_crossentropy,3.0000700000000005,128,256,64,<class 'keras.optimizers.Adam'>,
230,30,1.9531348541558506,0.07228915393352509,1.9490696395645957,0.12291248887777328,elu,relu,tanh,elu,elu,256,0.25,,30,uniform,softmax,categorical_crossentropy,0.0001,64,256,64,<class 'keras.optimizers.SGD'>,
537,30,1.952647336994309,0.07429718971252441,1.944359294239011,0.144956573843956,tanh,relu,relu,tanh,tanh,256,0.35000000000000003,,30,normal,softmax,categorical_crossentropy,0.0001,32,128,128,<class 'keras.optimizers.Adam'>,
1565,5,1.9477314949035645,0.07429718971252441,1.9436164154716549,0.14829659461975098,elu,relu,relu,relu,relu,512,0.30000000000000004,,30,normal,softmax,categorical_crossentropy,0.0001,128,256,64,<class 'keras.optimizers.SGD'>,
1999,11,2.3656322956085205,0.07831325381994247,2.8156571275167015,0.15430861711502075,relu,relu,tanh,elu,elu,512,0.4,,30,uniform,softmax,categorical_crossentropy,6.00004,128,256,128,<class 'keras.optimizers.RMSprop'>,
1574,20,1.9559014920728752,0.07831325381994247,1.941063021928689,0.13694055378437042,tanh,tanh,tanh,tanh,tanh,256,0.1,,20,normal,softmax,categorical_crossentropy,0.0001,32,64,256,<class 'keras.optimizers.Adam'>,
1413,13,1.9429364204406738,0.08232931792736053,1.9785707082124098,0.1402805596590042,elu,tanh,elu,elu,relu,512,0.30000000000000004,,30,uniform,softmax,categorical_crossentropy,7.000030000000001,128,128,128,<class 'keras.optimizers.RMSprop'>,
600,3,1.9538542032241821,0.08232931792736053,2.2040778629446955,0.15564462542533875,elu,tanh,relu,relu,relu,512,0.35000000000000003,,30,normal,softmax,categorical_crossentropy,5.000050000000001,128,256,256,<class 'keras.optimizers.Adam'>,
181,30,1.9490657326686813,0.0863453820347786,1.946684630138522,0.1422845721244812,elu,relu,tanh,relu,elu,256,0.0,,30,uniform,softmax,categorical_crossentropy,0.0001,128,256,64,<class 'keras.optimizers.SGD'>,
1183,8,2.1819875240325928,0.08835341036319733,2.168071144170258,0.18236473202705383,tanh,relu,tanh,tanh,elu,512,0.45,,20,uniform,softmax,categorical_crossentropy,5.000050000000001,64,128,256,<class 'keras.optimizers.Adam'>,
1729,20,1.9510043328066906,0.09036144614219666,1.9430287163816617,0.15163660049438477,tanh,elu,elu,tanh,relu,256,0.2,,20,normal,softmax,categorical_crossentropy,0.0001,32,128,32,<class 'keras.optimizers.RMSprop'>,
1419,4,2.1568377017974854,0.09036144614219666,1.949968328217944,0.19839678704738617,tanh,relu,relu,tanh,relu,512,0.35000000000000003,,30,normal,softmax,categorical_crossentropy,3.0000700000000005,128,256,256,<class 'keras.optimizers.Adam'>,
816,5,2.018725316687281,0.09236947447061539,2.015234144751677,0.17635270953178406,relu,tanh,tanh,tanh,elu,256,0.25,,30,normal,softmax,categorical_crossentropy,5.000050000000001,32,32,128,<class 'keras.optimizers.RMSprop'>,
1374,9,1.9869418144226074,0.09236947447061539,1.9327580994897153,0.2137608528137207,elu,tanh,relu,relu,relu,512,0.1,,20,normal,softmax,categorical_crossentropy,5.000050000000001,64,32,256,<class 'keras.optimizers.RMSprop'>,
1454,20,1.9518437385559082,0.09236947447061539,1.954259758403322,0.13760854303836823,tanh,tanh,relu,elu,tanh,512,0.30000000000000004,,20,normal,softmax,categorical_crossentropy,0.0001,64,32,256,<class 'keras.optimizers.SGD'>,
1185,30,1.9543097019195557,0.10441767424345016,1.9606694959367843,0.13827654719352722,relu,elu,tanh,elu,elu,512,0.45,,30,normal,softmax,categorical_crossentropy,0.0001,64,256,64,<class 'keras.optimizers.RMSprop'>,
631,20,1.950836801624681,0.1064257025718689,1.9466198869124205,0.15698063373565674,elu,elu,elu,relu,elu,256,0.0,,20,uniform,softmax,categorical_crossentropy,0.0001,64,256,128,<class 'keras.optimizers.RMSprop'>,
511,4,105.2509536743164,0.1064257025718689,14.960848393564472,0.1422845721244812,elu,tanh,relu,elu,elu,512,0.15000000000000002,,30,uniform,softmax,categorical_crossentropy,6.00004,64,256,32,<class 'keras.optimizers.Nadam'>,
1603,8,1.9710559629532227,0.11044176667928696,1.9028411180716638,0.22244489192962646,elu,relu,relu,tanh,elu,256,0.05,,30,uniform,softmax,categorical_crossentropy,1.0000900000000001,32,64,256,<class 'keras.optimizers.RMSprop'>,
115,3,1.9528144598007202,0.11044176667928696,2.2376483238452103,0.18436874449253082,tanh,tanh,tanh,relu,relu,512,0.1,,20,uniform,softmax,categorical_crossentropy,4.00006,128,32,256,<class 'keras.optimizers.Adam'>,
1188,20,1.9470807313919067,0.11244980245828629,1.9513267955544318,0.1409485638141632,tanh,relu,tanh,tanh,elu,512,0.4,,20,uniform,softmax,categorical_crossentropy,0.0001,64,32,32,<class 'keras.optimizers.Nadam'>,
210,4,1.9536036252975464,0.11244980245828629,1.9505564038882515,0.1442885845899582,relu,elu,tanh,relu,tanh,512,0.2,,30,normal,softmax,categorical_crossentropy,2.0000800000000005,32,256,128,<class 'keras.optimizers.Adam'>,
534,3,1.9468181133270264,0.11244980245828629,1.9465798498713023,0.13827654719352722,relu,relu,relu,relu,tanh,512,0.05,,30,uniform,softmax,categorical_crossentropy,0.0001,128,64,256,<class 'keras.optimizers.SGD'>,
1354,9,1.9707895517349243,0.11445783078670502,1.922710058286179,0.21710087358951569,relu,tanh,tanh,elu,relu,512,0.30000000000000004,,20,uniform,softmax,categorical_crossentropy,2.0000800000000005,32,256,128,<class 'keras.optimizers.RMSprop'>,
999,30,1.9475382097274903,0.11445783078670502,1.9461732268253802,0.12959252297878265,tanh,relu,relu,tanh,relu,256,0.05,,30,uniform,softmax,categorical_crossentropy,0.0001,32,32,64,<class 'keras.optimizers.RMSprop'>,
1704,20,1.9503611326217651,0.11646586656570435,1.9485887528739934,0.14696058630943298,tanh,elu,relu,tanh,tanh,512,0.0,,20,uniform,softmax,categorical_crossentropy,0.0001,64,32,64,<class 'keras.optimizers.SGD'>,
