,round_epochs,val_loss,val_accuracy,loss,accuracy,activation_1,activation_2,activation_3,activation_4,activation_5,batch_size,dropout,emb_output_dims,epochs,kernel_initializer,last_activation,loss,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,optimizer,weight_regulizer
1022,9,4.268466472625732,0.05622490122914314,4.151104309436235,0.1629926562309265,elu,elu,tanh,tanh,tanh,512,0.45,,20,normal,softmax,categorical_crossentropy,9.000010000000001,128,128,64,<class 'keras.optimizers.RMSprop'>,
876,4,1.9615305662155151,0.05622490122914314,2.240913513030063,0.17301268875598907,elu,elu,tanh,relu,elu,512,0.0,,20,normal,softmax,categorical_crossentropy,3.0000700000000005,32,32,32,<class 'keras.optimizers.Nadam'>,
894,7,2.8294930458068848,0.05622490122914314,3.2773819460260447,0.1629926562309265,tanh,tanh,relu,elu,tanh,512,0.30000000000000004,,30,uniform,softmax,categorical_crossentropy,7.000030000000001,32,128,32,<class 'keras.optimizers.RMSprop'>,
913,7,4.136885876636429,0.05622490122914314,3.4984302907764078,0.15698063373565674,tanh,relu,relu,elu,tanh,256,0.30000000000000004,,20,normal,softmax,categorical_crossentropy,8.000020000000001,32,32,32,<class 'keras.optimizers.RMSprop'>,
933,8,2.5595545768737793,0.05622490122914314,2.7156376082178904,0.16232465207576752,relu,tanh,relu,tanh,tanh,512,0.45,,30,uniform,softmax,categorical_crossentropy,5.000050000000001,128,256,128,<class 'keras.optimizers.RMSprop'>,
947,4,3.5319410394952,0.05622490122914314,3.376321292035008,0.14963260293006897,tanh,tanh,tanh,relu,tanh,256,0.35000000000000003,,20,normal,softmax,categorical_crossentropy,8.000020000000001,128,64,128,<class 'keras.optimizers.RMSprop'>,
969,6,2.0266168117523193,0.05622490122914314,1.9748697753898605,0.19973279535770416,elu,relu,tanh,tanh,elu,512,0.15000000000000002,,30,normal,softmax,categorical_crossentropy,3.0000700000000005,32,128,64,<class 'keras.optimizers.Adam'>,
972,9,2.006452798843384,0.05622490122914314,2.1112904383010203,0.17100869119167328,relu,tanh,tanh,tanh,relu,512,0.15000000000000002,,20,normal,softmax,categorical_crossentropy,4.00006,64,64,64,<class 'keras.optimizers.Nadam'>,
1010,30,1.9482636451721191,0.05622490122914314,1.9431800265748578,0.1429525762796402,relu,relu,relu,elu,relu,512,0.0,,30,normal,softmax,categorical_crossentropy,0.0001,64,64,64,<class 'keras.optimizers.Nadam'>,
853,7,2.3438029289245605,0.05622490122914314,2.5050794848937072,0.1643286645412445,elu,relu,relu,tanh,elu,512,0.4,,30,uniform,softmax,categorical_crossentropy,8.000020000000001,128,64,32,<class 'keras.optimizers.RMSprop'>,
117,14,37.83193588256836,0.05622490122914314,43.13697994336655,0.1683366745710373,elu,tanh,elu,elu,elu,512,0.1,,20,normal,softmax,categorical_crossentropy,9.000010000000001,128,256,64,<class 'keras.optimizers.Nadam'>,
