,round_epochs,val_loss,val_accuracy,loss,accuracy,activation_1,activation_2,activation_3,activation_4,activation_5,batch_size,dropout,emb_output_dims,epochs,kernel_initializer,last_activation,loss,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,optimizer,weight_regulizer
3,6,2.159343719482422,0.15662650763988495,2.503911601119465,0.15898463129997253,tanh,elu,tanh,tanh,tanh,512,0.45,,30,random_uniform,softmax,categorical_crossentropy,5.000050000000001,64,32,32,<class 'keras.optimizers.Nadam'>,
17,14,2.0421552658081055,0.15662650763988495,2.073677394417181,0.20240481197834015,relu,relu,relu,tanh,tanh,512,0.15000000000000002,,30,normal,softmax,categorical_crossentropy,7.000030000000001,64,64,64,<class 'keras.optimizers.Adam'>,
45,9,4.311489105224609,0.15662650763988495,3.758852758643304,0.15564462542533875,relu,tanh,relu,tanh,tanh,512,0.2,,30,uniform,softmax,categorical_crossentropy,8.000020000000001,128,64,128,<class 'keras.optimizers.RMSprop'>,
2,30,1.9446374335920955,0.16465863585472107,1.9428110097994706,0.17100869119167328,relu,relu,relu,tanh,elu,256,0.25,,30,random_uniform,softmax,categorical_crossentropy,0.0001,128,256,64,<class 'keras.optimizers.Nadam'>,
69,30,1.9349906205173477,0.17871485650539398,1.9335168833404521,0.1910487711429596,elu,relu,tanh,tanh,relu,256,0.30000000000000004,,30,random_uniform,softmax,categorical_crossentropy,0.0001,32,256,128,<class 'keras.optimizers.Nadam'>,
20,30,1.9471101760864258,0.1927710771560669,1.9396592611938457,0.17034068703651428,relu,tanh,elu,elu,elu,512,0.25,,30,normal,softmax,categorical_crossentropy,0.0001,64,64,64,<class 'keras.optimizers.Adam'>,
60,11,1.9480200680384196,0.2008032202720642,1.915706962605835,0.2137608528137207,elu,tanh,tanh,elu,relu,256,0.15000000000000002,,30,random_uniform,softmax,categorical_crossentropy,2.0000800000000005,64,256,256,<class 'keras.optimizers.Nadam'>,
10,8,1.9993406438444512,0.2008032202720642,2.0319483773901053,0.16032063961029053,tanh,elu,relu,tanh,tanh,256,0.1,,30,uniform,softmax,categorical_crossentropy,1.0000900000000001,128,64,128,<class 'keras.optimizers.RMSprop'>,
95,4,1.9486624730159958,0.20481927692890167,1.922183888549397,0.21977287530899048,tanh,elu,elu,relu,elu,256,0.05,,30,random_uniform,softmax,categorical_crossentropy,8.000020000000001,64,256,64,<class 'keras.optimizers.Nadam'>,
64,9,1.954444169998169,0.20481927692890167,2.184073844430601,0.1649966537952423,elu,tanh,tanh,tanh,elu,512,0.25,,30,random_uniform,softmax,categorical_crossentropy,6.00004,32,64,32,<class 'keras.optimizers.Nadam'>,
