round_epochs,loss,accuracy,val_loss,val_accuracy,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,neurons_layer_5,batch_size,epochs,dropout,kernel_initializer,weight_regulizer,emb_output_dims,optimizer,loss,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,last_activation
24,1.7567520141601562,0.2780223488807678,1.9909071922302246,0.2269647717475891,0.0001,128,128,32,256,256,30,0.1,uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,elu,tanh,tanh,elu,relu,softmax
30,1.983081340789795,0.29822778701782227,2.04080867767334,0.18834687769412994,0.0001,128,32,32,256,512,30,0.0,uniform,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,relu,elu,relu,relu,tanh,relu,softmax
30,2.0808725357055664,0.12258719652891159,2.0830070972442627,0.12940379977226257,0.0001,64,128,128,256,512,30,0.05,normal,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,tanh,relu,elu,tanh,tanh,tanh,softmax
21,1.6836835145950317,0.29506716132164,1.9838197231292725,0.1907181590795517,0.0001,32,256,128,512,512,30,0.1,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,tanh,elu,elu,elu,relu,elu,softmax
30,1.814849853515625,0.3187718689441681,1.988673210144043,0.23577235639095306,0.0001,64,64,32,256,512,30,0.05,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,tanh,tanh,elu,relu,tanh,relu,softmax
23,1.7231453657150269,0.28964895009994507,1.9815064668655396,0.22831977903842926,0.0001,128,32,32,128,256,30,0.1,uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,elu,tanh,relu,relu,tanh,elu,softmax
24,1.6751718521118164,0.2932610809803009,1.9750715494155884,0.1880081295967102,0.0001,32,128,64,512,256,30,0.2,uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,relu,relu,tanh,relu,relu,relu,softmax
11,1.7299939393997192,0.2937126159667969,1.9859205484390259,0.2313685566186905,0.0001,32,128,32,512,512,30,0.05,normal,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,tanh,elu,elu,relu,relu,elu,softmax
30,1.7033178806304932,0.2972118854522705,1.979405403137207,0.21273712813854218,0.0001,128,64,32,128,512,30,0.2,normal,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,elu,tanh,elu,elu,relu,tanh,softmax
30,2.1051604747772217,0.004289423115551472,2.095651626586914,0.06842818111181259,0.0001,32,128,64,128,256,30,0.05,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,tanh,tanh,tanh,elu,tanh,softmax
30,1.9834239482879639,0.2808443307876587,2.045224905014038,0.23204606771469116,0.0001,128,32,128,128,512,30,0.15000000000000002,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,relu,tanh,relu,relu,relu,tanh,softmax
30,2.071805238723755,0.13782593607902527,2.0836310386657715,0.044037941843271255,0.0001,128,32,32,512,512,30,0.4,normal,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,elu,tanh,elu,tanh,relu,softmax
30,1.663910984992981,0.28558528423309326,1.9781371355056763,0.20663957297801971,0.0001,64,128,64,128,256,30,0.45,uniform,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,tanh,relu,tanh,relu,elu,elu,softmax
30,2.0349419116973877,0.2557850778102875,2.0574257373809814,0.22730351984500885,0.0001,32,64,32,64,512,30,0.15000000000000002,uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,tanh,elu,tanh,elu,tanh,tanh,softmax
30,1.6888740062713623,0.2851337492465973,1.9846144914627075,0.19579945504665375,0.0001,128,256,32,64,256,30,0.2,normal,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,tanh,elu,elu,tanh,relu,elu,softmax
30,2.070176601409912,0.1917823702096939,2.0760762691497803,0.18597561120986938,0.0001,32,128,256,512,512,30,0.35000000000000003,normal,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,relu,relu,relu,relu,tanh,softmax
28,1.7258960008621216,0.3018399477005005,1.988163948059082,0.2655826508998871,0.0001,128,64,32,128,256,30,0.15000000000000002,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,elu,relu,elu,relu,tanh,tanh,softmax
28,1.7141051292419434,0.29235804080963135,1.9746348857879639,0.19478319585323334,0.0001,32,64,256,256,256,30,0.2,normal,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,relu,relu,relu,tanh,tanh,elu,softmax
30,1.8383194208145142,0.2786996364593506,2.0121188163757324,0.1907181590795517,0.0001,64,256,32,64,256,30,0.45,uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,tanh,elu,elu,elu,tanh,relu,softmax
30,1.8335152864456177,0.27768370509147644,2.0017499923706055,0.22764228284358978,0.0001,128,32,128,256,512,30,0.2,uniform,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,tanh,relu,relu,tanh,relu,elu,softmax
27,1.7055634260177612,0.28964895009994507,1.985133171081543,0.1880081295967102,0.0001,64,32,128,128,512,30,0.25,uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,relu,tanh,tanh,tanh,elu,tanh,softmax
